author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
representative_developer,10,19,3,74.83,not available,False,114000
real_estate_agent,4,24,3,60.0,Хорошёвская,True,829167
developer,25,27,3,74.6,not available,False,153000
official_representative,7,19,3,85.0,Панфиловская,True,609412
developer,4,18,3,69.7,not available,False,133800
homeowner,2,3,3,116.7,Ладожская,True,113967
representative_developer,8,14,3,76.46,not available,False,160216
representative_developer,16,17,3,72.0,not available,False,100000
real_estate_agent,18,37,3,69.0,Поклонная,True,840580
representative_developer,19,23,3,72.9,not available,False,134000
real_estate_agent,4,18,3,82.3,Воробьёвы горы,True,1032807
real_estate_agent,8,52,3,77.0,Раменки,True,746753
developer,3,24,3,81.55,Автово,True,203826
real_estate_agent,24,56,3,71.0,Аминьевская,True,471831
real_estate_agent,4,5,3,73.7,Трубная,True,924400
developer,6,24,3,95.3,Козья слобода,True,193457
real_estate_agent,4,6,3,144.0,Кропоткинская,True,3472222
developer,2,10,3,62.66,not available,False,181700
real_estate_agent,39,47,3,144.4,Ломоносовский проспект,True,450139
official_representative,6,7,3,82.0,Автозаводская,True,390244
real_estate_agent,4,22,3,75.0,not available,False,177200
